 CaseName (Patient Code) ,  timestamp (i) ; seconds from 1st Midnight ,  timestamp (i) ; hours from 1st Midnight ,   RR(i) msec   ,   QT(i) msec   ,    CODE of class. of beat (i)    ,  NAME of class. of beat (i)  ,  used ECG channel# = 1 / I ; epoch length (sec) =  900 ; analysis date = 18-Jun-2025 ; BaseQTprogramVer = 20171130DF_types1-16_DeepFork ; Data File Format Type (Source) = EPS Prucka+GE
07-15-37_8_hours_part4_v2 , 2.61382090000e+04 , 7.26061361111e+00 , 9.0200000e+02 , 6.2644969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61391110000e+04 , 7.26086416667e+00 , 9.0000000e+02 , 6.2903750e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61400110000e+04 , 7.26111416667e+00 , 8.8800000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61408990000e+04 , 7.26136083333e+00 , 8.8200000e+02 , 6.2983375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61417810000e+04 , 7.26160583333e+00 , 8.7900000e+02 , 6.3043094e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61426600000e+04 , 7.26185000000e+00 , 8.8400000e+02 , 6.3222250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61435440000e+04 , 7.26209555556e+00 , 8.8500000e+02 , 6.2863937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61444290000e+04 , 7.26234138889e+00 , 8.6900000e+02 , 6.2863937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61452980000e+04 , 7.26258277778e+00 , 8.6600000e+02 , 6.2585250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61461640000e+04 , 7.26282333333e+00 , 8.9000000e+02 , 6.2824125e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61470540000e+04 , 7.26307055556e+00 , 9.1800000e+02 , 6.2963469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61479720000e+04 , 7.26332555556e+00 , 9.0800000e+02 , 6.3162531e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61488800000e+04 , 7.26357777778e+00 , 8.8200000e+02 , 6.2804219e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61497620000e+04 , 7.26382277778e+00 , 9.2000000e+02 , 6.2644969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61506820000e+04 , 7.26407833333e+00 , 9.4100000e+02 , 6.3381500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61516230000e+04 , 7.26433972222e+00 , 9.2600000e+02 , 6.3301875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61525490000e+04 , 7.26459694444e+00 , 9.0500000e+02 , 6.3381500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61534540000e+04 , 7.26484833333e+00 , 8.9800000e+02 , 6.2664875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61543520000e+04 , 7.26509777778e+00 , 9.0900000e+02 , 6.3381500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61552610000e+04 , 7.26535027778e+00 , 9.1500000e+02 , 6.3301875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61561760000e+04 , 7.26560444444e+00 , 9.1700000e+02 , 6.3301875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61570930000e+04 , 7.26585916667e+00 , 9.3600000e+02 , 6.2784312e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61580290000e+04 , 7.26611916667e+00 , 9.4500000e+02 , 6.3441219e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61589740000e+04 , 7.26638166667e+00 , 9.3300000e+02 , 6.3321781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61599070000e+04 , 7.26664083333e+00 , 9.0000000e+02 , 6.3301875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61608070000e+04 , 7.26689083333e+00 , 8.9700000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61617040000e+04 , 7.26714000000e+00 , 9.0700000e+02 , 6.3122719e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61626110000e+04 , 7.26739194444e+00 , 9.0600000e+02 , 6.3281969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61635170000e+04 , 7.26764361111e+00 , 8.6500000e+02 , 6.3281969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61643820000e+04 , 7.26788388889e+00 , 8.6500000e+02 , 6.2863937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61652470000e+04 , 7.26812416667e+00 , 8.8200000e+02 , 6.3063000e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61661290000e+04 , 7.26836916667e+00 , 8.9700000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61670260000e+04 , 7.26861833333e+00 , 8.9400000e+02 , 6.3500937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61679200000e+04 , 7.26886666667e+00 , 8.8900000e+02 , 6.2963469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61688090000e+04 , 7.26911361111e+00 , 9.1500000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61697240000e+04 , 7.26936777778e+00 , 9.2300000e+02 , 6.3421312e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61706470000e+04 , 7.26962416667e+00 , 9.0900000e+02 , 6.3381500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61715560000e+04 , 7.26987666667e+00 , 8.8500000e+02 , 6.3520844e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61724410000e+04 , 7.27012250000e+00 , 8.9100000e+02 , 6.2963469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61733320000e+04 , 7.27037000000e+00 , 9.1000000e+02 , 6.3361594e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61742420000e+04 , 7.27062277778e+00 , 8.9500000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61751370000e+04 , 7.27087138889e+00 , 9.0100000e+02 , 6.3122719e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61760380000e+04 , 7.27112166667e+00 , 8.8800000e+02 , 6.3281969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61769260000e+04 , 7.27136833333e+00 , 8.8800000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61778140000e+04 , 7.27161500000e+00 , 8.9900000e+02 , 6.3401406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61787130000e+04 , 7.27186472222e+00 , 8.7100000e+02 , 6.3122719e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61795840000e+04 , 7.27210666667e+00 , 8.5100000e+02 , 6.2744500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61804350000e+04 , 7.27234305556e+00 , 8.4500000e+02 , 6.3520844e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61812800000e+04 , 7.27257777778e+00 , 8.7000000e+02 , 6.3162531e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61821500000e+04 , 7.27281944444e+00 , 8.9900000e+02 , 6.2963469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61830490000e+04 , 7.27306916667e+00 , 9.1200000e+02 , 6.3063000e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61839610000e+04 , 7.27332250000e+00 , 9.1100000e+02 , 6.3281969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61848720000e+04 , 7.27357555556e+00 , 9.1600000e+02 , 6.3222250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61857880000e+04 , 7.27383000000e+00 , 8.8700000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61866750000e+04 , 7.27407638889e+00 , 8.5000000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61875250000e+04 , 7.27431250000e+00 , 8.4200000e+02 , 6.2983375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61883670000e+04 , 7.27454638889e+00 , 8.2800000e+02 , 6.1669563e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61891950000e+04 , 7.27477638889e+00 , 8.2300000e+02 , 6.2684781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61900180000e+04 , 7.27500500000e+00 , 8.4600000e+02 , 6.2585250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61908640000e+04 , 7.27524000000e+00 , 8.9800000e+02 , 6.2744500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61917620000e+04 , 7.27548944444e+00 , 9.2000000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61926820000e+04 , 7.27574500000e+00 , 9.0000000e+02 , 6.2903750e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61935820000e+04 , 7.27599500000e+00 , 9.1800000e+02 , 6.2187125e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61945000000e+04 , 7.27625000000e+00 , 9.4300000e+02 , 6.3500937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61954430000e+04 , 7.27651194444e+00 , 9.3900000e+02 , 6.3321781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61963820000e+04 , 7.27677277778e+00 , 9.2200000e+02 , 6.3301875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61973040000e+04 , 7.27702888889e+00 , 9.5300000e+02 , 6.2883844e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61982570000e+04 , 7.27729361111e+00 , 9.6500000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.61992220000e+04 , 7.27756166667e+00 , 9.4800000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62001700000e+04 , 7.27782500000e+00 , 9.2300000e+02 , 6.3122719e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62010930000e+04 , 7.27808138889e+00 , 9.2400000e+02 , 6.2863937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62020170000e+04 , 7.27833805556e+00 , 9.4300000e+02 , 6.3401406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62029600000e+04 , 7.27860000000e+00 , 9.2700000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62038870000e+04 , 7.27885750000e+00 , 9.1800000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62048050000e+04 , 7.27911250000e+00 , 9.2200000e+02 , 6.3182437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62057270000e+04 , 7.27936861111e+00 , 9.2200000e+02 , 6.3281969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62066490000e+04 , 7.27962472222e+00 , 9.2000000e+02 , 6.3222250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62075690000e+04 , 7.27988027778e+00 , 9.0300000e+02 , 6.3520844e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62084720000e+04 , 7.28013111111e+00 , 9.1300000e+02 , 6.2963469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62093850000e+04 , 7.28038472222e+00 , 9.3200000e+02 , 6.3003281e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62103170000e+04 , 7.28064361111e+00 , 9.3400000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62112510000e+04 , 7.28090305556e+00 , 9.2200000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62121730000e+04 , 7.28115916667e+00 , 9.0600000e+02 , 6.2983375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62130790000e+04 , 7.28141083333e+00 , 8.9500000e+02 , 6.3401406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62139740000e+04 , 7.28165944444e+00 , 8.8800000e+02 , 6.3321781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62148620000e+04 , 7.28190611111e+00 , 8.7400000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62157360000e+04 , 7.28214888889e+00 , 8.9600000e+02 , 6.2963469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62166320000e+04 , 7.28239777778e+00 , 9.0100000e+02 , 6.3242156e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62175330000e+04 , 7.28264805556e+00 , 8.9900000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62184320000e+04 , 7.28289777778e+00 , 8.9300000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62193250000e+04 , 7.28314583333e+00 , 9.0000000e+02 , 6.2804219e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62202250000e+04 , 7.28339583333e+00 , 9.1500000e+02 , 6.3321781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62211400000e+04 , 7.28365000000e+00 , 9.1100000e+02 , 6.3401406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62220510000e+04 , 7.28390305556e+00 , 8.9300000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62229440000e+04 , 7.28415111111e+00 , 8.9000000e+02 , 6.3500937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62238340000e+04 , 7.28439833333e+00 , 8.9200000e+02 , 6.3281969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62247260000e+04 , 7.28464611111e+00 , 8.9800000e+02 , 6.3401406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62256240000e+04 , 7.28489555556e+00 , 8.9600000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62265200000e+04 , 7.28514444444e+00 , 8.9200000e+02 , 6.3520844e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62274120000e+04 , 7.28539222222e+00 , 8.9100000e+02 , 6.3301875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62283030000e+04 , 7.28563972222e+00 , 9.0000000e+02 , 6.3063000e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62292030000e+04 , 7.28588972222e+00 , 8.7700000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62300800000e+04 , 7.28613333333e+00 , 8.6300000e+02 , 6.2565344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62309430000e+04 , 7.28637305556e+00 , 8.7400000e+02 , 6.3520844e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62318170000e+04 , 7.28661583333e+00 , 8.9900000e+02 , 6.3421312e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62327160000e+04 , 7.28686555556e+00 , 8.8900000e+02 , 6.3779625e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62336050000e+04 , 7.28711250000e+00 , 9.0600000e+02 , 6.3222250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62345110000e+04 , 7.28736416667e+00 , 9.2100000e+02 , 6.3102812e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62354320000e+04 , 7.28762000000e+00 , 9.2200000e+02 , 6.3301875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62363540000e+04 , 7.28787611111e+00 , 8.9900000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62372530000e+04 , 7.28812583333e+00 , 8.7500000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62381280000e+04 , 7.28836888889e+00 , 8.8500000e+02 , 6.3222250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62390130000e+04 , 7.28861472222e+00 , 8.8600000e+02 , 6.3222250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62398990000e+04 , 7.28886083333e+00 , 8.6900000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62407680000e+04 , 7.28910222222e+00 , 8.3900000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62416070000e+04 , 7.28933527778e+00 , 8.6300000e+02 , 6.3122719e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62424700000e+04 , 7.28957500000e+00 , 8.5700000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62433270000e+04 , 7.28981305556e+00 , 8.4800000e+02 , 6.4217562e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62441750000e+04 , 7.29004861111e+00 , 8.3800000e+02 , 6.3182438e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62450130000e+04 , 7.29028138889e+00 , 8.6600000e+02 , 6.2764406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62458790000e+04 , 7.29052194444e+00 , 8.9800000e+02 , 6.3003281e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62467770000e+04 , 7.29077138889e+00 , 8.9400000e+02 , 6.4118031e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62476710000e+04 , 7.29101972222e+00 , 8.8600000e+02 , 6.3481031e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62485570000e+04 , 7.29126583333e+00 , 9.2700000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62494840000e+04 , 7.29152333333e+00 , 9.3800000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62504220000e+04 , 7.29178388889e+00 , 9.1700000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62513390000e+04 , 7.29203861111e+00 , 8.9600000e+02 , 6.3779625e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62522350000e+04 , 7.29228750000e+00 , 8.8800000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62531230000e+04 , 7.29253416667e+00 , 8.7100000e+02 , 6.2963469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62539940000e+04 , 7.29277611111e+00 , 8.7200000e+02 , 6.3321781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62548660000e+04 , 7.29301833333e+00 , 8.3900000e+02 , 6.3779625e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62557050000e+04 , 7.29325138889e+00 , 8.4000000e+02 , 6.3063000e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62565450000e+04 , 7.29348472222e+00 , 8.6200000e+02 , 6.3182437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62574070000e+04 , 7.29372416667e+00 , 9.0900000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62583160000e+04 , 7.29397666667e+00 , 9.1300000e+02 , 6.3082906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62592290000e+04 , 7.29423027778e+00 , 9.5900000e+02 , 6.3281969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62601880000e+04 , 7.29449666667e+00 , 9.5400000e+02 , 6.3341688e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62611420000e+04 , 7.29476166667e+00 , 9.5100000e+02 , 6.3381500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62620930000e+04 , 7.29502583333e+00 , 9.2300000e+02 , 6.3779625e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62630160000e+04 , 7.29528222222e+00 , 9.0500000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62639210000e+04 , 7.29553361111e+00 , 9.1400000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62648350000e+04 , 7.29578750000e+00 , 9.1000000e+02 , 6.3003281e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62657450000e+04 , 7.29604027778e+00 , 8.9100000e+02 , 6.3401406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62666360000e+04 , 7.29628777778e+00 , 9.1200000e+02 , 6.3182437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62675480000e+04 , 7.29654111111e+00 , 9.2400000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62684720000e+04 , 7.29679777778e+00 , 9.3000000e+02 , 6.3063000e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62694020000e+04 , 7.29705611111e+00 , 9.3700000e+02 , 6.3779625e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62703390000e+04 , 7.29731638889e+00 , 9.4400000e+02 , 6.3301875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62712830000e+04 , 7.29757861111e+00 , 9.3400000e+02 , 6.3341688e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62722170000e+04 , 7.29783805556e+00 , 9.2200000e+02 , 6.3182437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62731390000e+04 , 7.29809416667e+00 , 8.9700000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62740360000e+04 , 7.29834333333e+00 , 8.9400000e+02 , 6.3361594e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62749300000e+04 , 7.29859166667e+00 , 9.0500000e+02 , 6.3202344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62758350000e+04 , 7.29884305556e+00 , 9.0800000e+02 , 6.3321781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62767430000e+04 , 7.29909527778e+00 , 8.9900000e+02 , 6.3620375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62776420000e+04 , 7.29934500000e+00 , 8.9600000e+02 , 6.3401406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62785380000e+04 , 7.29959388889e+00 , 9.2300000e+02 , 6.3182437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62794610000e+04 , 7.29985027778e+00 , 9.1400000e+02 , 6.3779625e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62803750000e+04 , 7.30010416667e+00 , 9.0900000e+02 , 6.3500937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62812840000e+04 , 7.30035666667e+00 , 9.1900000e+02 , 6.2923656e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62822030000e+04 , 7.30061194444e+00 , 9.3000000e+02 , 6.3043094e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62831330000e+04 , 7.30087027778e+00 , 9.2300000e+02 , 6.3262063e+02 , 1.000 , allOK , 
07-15-37_8_hours_part4_v2 , 2.62840560000e+04 , 7.30112666667e+00 , 9.0400000e+02 , 6.3620375e+02 , 1.000 , allOK , 
